UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
"KaiserAir, Inc.",3988.0,0.0,0.0
"Kalitta Air LLC",0.0,3.932185622E9,9.61940785E8
"Kalitta Charters II",0.0,4.8952718E7,0.0
"Katmai Air",17.0,0.0,0.0
"Kenmore Air Harbor",436722.0,68842.0,0.0
"Key Airlines Inc.",719123.0,0.0,0.0
"Kitty Hawk Aircargo",0.0,1.00780074E8,924818.0
"Kitty Hawk International",33235.0,1.985092043E9,28355.0
"Kiwi International",143013.0,128910.0,1827.0
"L.A.B. Flying Service Inc.",43.0,6.0,0.0
"Laker Airways Inc.",392275.0,2280254.0,0.0
"Larrys Flying Service",9.0,0.0,973.0
"Lorair Ltd.",20510.0,0.0,0.0
"Lynden Air Cargo Airlines",0.0,1.5048083E7,1832.0
"MAXjet",127107.0,6161629.0,0.0
"Markair Inc.",5863.0,4290073.0,117961.0
"Mesa Airlines Inc.",9829312.0,2.4268073E7,73997.0
"Mesaba Airlines",2530763.0,302291.0,28452.0
"Miami Air International",3634418.0,3945040.0,0.0
"Midway Airlines Inc. (1)",311774.0,1059300.0,0.0
"Midway Airlines Inc.",141480.0,16033.0,22284.0
"Midwest Airline, Inc.",188882.0,584250.0,25972.0
"Millon Air Inc.",0.0,4.1059235E8,0.0
"Morris Air Corporation",38232.0,2399.0,8182.0
"Mountain Bird/Salmon Air",46.0,0.0,373.0
"National Air Cargo Group Inc d/ba National Airlines",35410.0,8.2046905E7,0.0
"Nations Air Express Inc.",98315.0,39183.0,0.0
"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",12467.0,0.0,0.0
"NetJets Large Aircraft Company L.L.C.",1913.0,0.0,0.0
"North American Airlines",3453144.0,4241718.0,419751.0
"Northern Air Cargo Inc.",0.0,1.36334606E8,0.0
"Northwest Airlines Inc.",1.4252753E8,1.0459599598E10,6.15887535E8
"Olson Air Service",0.0,0.0,279.0
"Omega Air Holdings d/b/a Focus Air",0.0,1.588844E8,0.0
"Omni Air International LLC",2401282.0,3.8224822E7,878.0
"Orange Air",12974.0,0.0,0.0
"PSA Airlines Inc.",1135735.0,78536.0,10174.0
