(IF,2/01/1993,8760593)
(DU,6/01/1991,11291113)
(IF,9/01/1992,10580521)
(DU,1/01/1991,12975051)
(IF,1/01/1991,9294250)
(DU,5/01/1991,10703490)
(DU,7/01/1992,10747888)
(IU,10/01/1993,8501126)
(DU,10/01/1991,11142307)
(IF,10/01/1992,10606992)
(IF,11/01/1990,9216042)
(IU,1/01/1991,7093642)
(IU,12/01/1994,8713614)
(DU,9/01/1990,13318489)
(IU,11/01/1992,7940756)
(IF,3/01/1990,9956819)
(IF,6/01/1994,9194767)
(DU,4/01/1990,11193217)
(IU,3/01/1991,7027395)
(IF,5/01/1990,9861125)
(IU,9/01/1993,8601311)
(DU,8/01/1991,10594716)
(DU,12/01/1992,12557918)
(IU,2/01/1994,8689216)
(DU,9/01/1994,12272565)
(DU,10/01/1990,11754271)
(IU,6/01/1992,8279183)
(IU,1/01/1992,7999890)
(IF,7/01/1993,9013100)
(DU,2/01/1990,11897970)
(IU,11/01/1993,8207750)
(IF,6/01/1991,9840246)
(IU,5/01/1993,8282815)
(IF,5/01/1994,8741453)
(IF,7/01/1990,10574204)
(IF,12/01/1990,9398622)
(IU,10/01/1992,8244547)
(DU,3/01/1990,11757986)
(IU,7/01/1993,8696855)
(IF,8/01/1993,8976356)
(IF,4/01/1992,9758456)
(IF,9/01/1994,9265928)
(DU,2/01/1993,10857704)
(DU,8/01/1994,10295454)
(DU,7/01/1990,11422426)
(IF,3/01/1991,9158046)
(IU,4/01/1990,6891460)
(IU,3/01/1994,8613864)
(DU,3/01/1994,11894431)
(DF,1/01/1992,2588)
(IF,2/01/1992,9672153)
(DU,5/01/1992,10093095)
(DU,5/01/1990,11275066)
(DU,4/01/1991,11593013)
(DF,3/01/1992,2502)
(DU,5/01/1994,10517576)
(IF,1/01/1994,9268044)
(IU,8/01/1994,8343974)
(IF,3/01/1994,9456940)
(IU,9/01/1992,8687672)
(IF,10/01/1991,9980471)
(DU,6/01/1992,11481145)
(DU,9/01/1993,13305412)
(IU,5/01/1990,7106112)
(IU,7/01/1994,8510258)
(IU,1/01/1990,7471778)
(IU,10/01/1990,7339724)
(IU,8/01/1990,7269250)
(IF,7/01/1994,9664362)
(IU,11/01/1994,8029906)
(IU,4/01/1991,7140277)
(IU,7/01/1990,7527412)
(IU,5/01/1994,8263226)
(DU,7/01/1993,10582065)
(IU,1/01/1993,8735325)
(IU,9/01/1990,7216971)
(DU,11/01/1992,10090332)
(DU,12/01/1991,12250869)
(DU,1/01/1994,12451968)
(DU,4/01/1994,12078134)
(DU,6/01/1993,12192960)
(DU,8/01/1990,11236475)
(DU,3/01/1991,10994887)
(IU,4/01/1994,8667073)
(IU,3/01/1990,7348957)
(IU,11/01/1991,7383574)
(IF,8/01/1992,11092026)
