(DF,1997-4,0)
(IF,1998-4,4907273)
(DF,1995-12,197)
(DU,1999-6,50894656)
(IF,1999-5,5483074)
(IF,1998-10,5114414)
(IF,1995-12,4205846)
(DU,1995-3,42639115)
(IF,1997-7,5736930)
(IU,1995-11,3999732)
(DF,1998-9,0)
(DU,1998-12,45625020)
(IU,1998-12,4732936)
(IU,1998-4,5050571)
(DF,1997-9,0)
(DF,1997-8,0)
(DF,1999-11,91)
(IF,1999-10,5546060)
(IF,1997-3,4859609)
(IF,1999-1,5031383)
(IF,1995-9,4382893)
(DF,1998-10,0)
(IU,1995-10,4451526)
(DF,1998-2,49)
(DU,1998-1,39902306)
(DU,1996-9,40455888)
(IU,1999-11,4995393)
(DU,1995-8,45780334)
(IF,1999-4,5227062)
(IU,1998-11,4528297)
(DU,1997-5,45795980)
(IU,1997-3,5277339)
(IU,1997-12,4609172)
(IU,1996-5,4731849)
(DF,1996-1,30)
(IU,1997-4,4683763)
(IU,1997-9,5011114)
(IF,1995-6,4424375)
(IU,1995-8,5650471)
(DF,1996-5,0)
(DU,1997-12,44453691)
(DU,1998-6,49152325)
(IF,1998-7,6002590)
(IF,1996-7,5250533)
(IF,1996-12,4419710)
(IF,1996-9,4547803)
(DU,1997-11,42629044)
(IU,1996-11,4196308)
(DU,1998-9,42454524)
(IF,1995-2,3169002)
(IF,1995-11,3806594)
(IF,1998-9,5178754)
(IF,1997-6,5240907)
(IF,1995-4,3993472)
(IU,1998-7,6054152)
(IU,1999-1,4932772)
(DF,1996-9,0)
(IF,1998-5,5144517)
(DF,1995-11,115)
(DU,1998-5,47402937)
(DU,1999-3,49887631)
(IF,1999-6,5850683)
(IF,1996-2,3745477)
(IU,1998-3,5316240)
(DU,1996-5,44674289)
(DU,1995-4,40966721)
(IU,1999-7,6489703)
(IF,1995-8,5150709)
(IU,1996-4,4444440)
(DU,1997-1,40087424)
(IU,1997-7,5775529)
(DU,1999-2,40713491)
(IF,1998-1,4707585)
(IU,1995-3,4461542)
(DU,1996-8,48371936)
(DU,1999-7,53699987)
(IF,1999-2,4485017)
(DU,1998-11,44746816)
(DU,1995-7,44432354)
(IF,1999-7,6471896)
(IF,1999-11,5167369)
(DU,1998-2,39386993)
(IU,1999-12,4820589)
(IU,1996-8,5976535)
(IU,1995-7,5513608)
(IF,1996-5,4367845)
(DU,1996-1,37295841)
(IF,1995-5,4033395)
(DF,1997-7,0)
(IF,1997-9,5051800)
(DF,1999-2,52)
(DF,1998-6,0)
(DF,1999-10,0)
(DU,1997-8,49852550)
(DF,1997-1,27)
(DF,1998-1,143)
(IF,1997-2,4030358)
(DF,1999-8,0)
(DU,1995-5,41435972)
(DF,1996-3,23)
(DU,1996-12,44282206)
(DU,1998-8,50423067)
(IF,1999-9,5471859)
(IU,1998-8,6158583)
(IF,1998-6,5507935)
(DU,1999-11,47902988)
(DF,1995-10,0)
(IF,1996-11,4100777)
(IU,1999-3,5668931)
(DU,1996-2,39179744)
(IU,1997-2,4249801)
(DF,1999-4,0)
(DU,1999-1,41030878)
(DU,1997-10,45438625)
