Date,Cancellations
2001-11-03,115
2001-11-04,66
2001-11-05,143
2001-11-06,102
2001-11-07,79
2001-11-08,64
2001-11-09,37
2001-11-10,52
2001-11-11,62
2001-11-12,557
2001-11-13,125
2001-11-14,65
2001-11-15,118
2001-11-16,507
2001-11-17,268
2001-11-18,142
2001-11-19,199
2001-11-20,83
2001-11-21,38
2001-11-22,34
2001-11-23,50
2001-11-24,65
2001-11-25,64
2001-11-26,101
2001-11-27,110
2001-11-28,624
2001-11-29,273
2001-11-30,178
2001-12-01,217
2001-12-02,239
2001-12-03,106
2001-12-04,142
2001-12-05,101
2001-12-06,94
2001-12-07,81
2001-12-08,87
2001-12-09,103
2001-12-10,145
2001-12-11,139
2001-12-12,219
2001-12-13,216
2001-12-14,184
2001-12-15,157
2001-12-16,211
2001-12-17,228
2001-12-18,255
2001-12-19,131
2001-12-20,87
2001-12-21,22
2001-12-22,23
2001-12-23,41
2001-12-24,71
2001-12-25,269
2001-12-26,177
2001-12-27,193
2001-12-28,203
2001-12-29,41
2001-12-30,76
2001-12-31,75
