Date,Arrival_Delay,Departure_Delay
2001-01-01,20.296418473138548,20.227144203581528
2001-01-02,18.680298719772406,18.91885964912281
2001-01-03,17.142486894033105,17.996465806679627
2001-01-04,10.546417700772652,11.332299227347226
2001-01-05,13.407536720443053,16.390199855526127
2001-01-06,9.07002349781806,8.743403826787512
2001-01-07,8.533765201980078,8.257410010389293
2001-01-08,8.22925506836398,10.032119283356908
2001-01-09,7.207161427558497,9.07486409832191
2001-01-10,13.282231008866523,15.643421998562186
2001-01-11,12.607772795216741,14.519820627802691
2001-01-12,17.111566322289516,18.358389739935873
2001-01-13,6.014341938496432,6.689547061570275
2001-01-14,7.880302007243263,9.30691793014548
2001-01-15,9.306731684110371,11.022656993339677
2001-01-16,10.26563614744352,12.377764565992866
2001-01-17,5.715150446638458,7.745181006111895
2001-01-18,9.120539206836373,11.514412950592767
2001-01-19,14.980960314154817,17.92235378116261
2001-01-20,8.495929302066662,10.627165820054277
2001-01-21,12.54078725883724,12.757089214035997
2001-01-22,5.38462438567751,5.807395272642172
2001-01-23,4.935239549084077,5.554309534992955
2001-01-24,6.455751695113397,7.47410568155249
2001-01-25,7.254209445585215,8.584100909357582
2001-01-26,12.67131215306484,15.314456123774654
2001-01-27,8.541064433337835,10.01911387275429
2001-01-28,7.830980683506686,9.840577018325904
2001-01-29,10.896699528504072,13.11695548343641
2001-01-30,8.415768883538972,10.254529040024075
2001-01-31,5.376885014137606,6.845959000942507
2001-02-01,5.402988559420967,6.5316950735465795
2001-02-02,6.908491006774118,8.464085494043449
2001-02-03,4.206689765458422,4.45262526652452
2001-02-04,6.4924924924924925,7.406202120487835
2001-02-05,8.409642380740646,11.276884964746236
2001-02-06,6.139974779319042,7.191016633639585
2001-02-07,8.048410317936412,10.125194961007798
2001-02-08,9.677214438375684,12.825813345998576
2001-02-09,17.161928532294393,20.268703962987765
2001-02-10,7.583153347732181,8.300283477321814
2001-02-11,7.327341008434402,8.366927291756449
2001-02-12,9.324883018420897,12.276728069655867
2001-02-13,10.804925040640617,14.443614907580228
2001-02-14,15.110026835813613,18.307879970724567
2001-02-15,17.20486586163821,21.062518589019096
2001-02-16,20.628368461222333,23.840720953443316
2001-02-17,10.59621831835859,10.968821241786241
2001-02-18,6.268433675665703,6.450464301088494
2001-02-19,9.584082232011747,10.859089574155654
2001-02-20,8.063320190666746,9.294356499735185
2001-02-21,8.361724500525762,10.677181913774973
2001-02-22,17.094017609456035,22.78120853938005
2001-02-23,16.692702798441374,19.263726532058094
2001-02-24,21.59198242723778,25.52436847885777
2001-02-25,25.556740778820203,28.16315383626783
2001-02-26,11.374735605170388,12.051821386603995
2001-02-27,12.06643606870229,15.710281488549619
2001-02-28,16.897750015161623,19.041118321305113
2001-03-01,11.474373275406563,12.766981741325662
2001-03-02,12.676666666666666,14.856432748538012
2001-03-03,9.201836693950888,10.0695414919811
2001-03-04,15.805566097406704,18.119734345351045
2001-03-05,6.891099192070066,8.365197908887229
2001-03-06,7.315939217588102,9.307468477206596
2001-03-07,8.158196385753552,8.591672027603954
2001-03-08,12.076739028944912,13.471930438842204
2001-03-09,11.141387573791572,12.271494535040038
2001-03-10,8.431648496861579,8.489527585067723
2001-03-11,13.983086808923375,16.113178952473326
2001-03-12,13.589310995752713,15.940773949976403
2001-03-13,12.90749601275917,14.608718766613503
2001-03-14,11.382218309859155,13.637617370892018
2001-03-15,17.36999824756119,20.251066066943164
2001-03-16,17.409772674009844,19.552202952894305
2001-03-17,10.313408190224571,10.504689564068693
2001-03-18,11.301374008837238,11.465044488832396
2001-03-19,9.581185641980337,10.688870789458374
2001-03-20,10.040847738574474,11.460750651195832
2001-03-21,13.787264488433102,15.482947770093013
2001-03-22,10.807458905320214,11.131444058210098
2001-03-23,11.422468906195514,11.799197954202022
2001-03-24,8.988297172912558,9.175936883629191
2001-03-25,9.37587539241729,9.991487563390486
2001-03-26,9.484406027333256,10.423198224506482
2001-03-27,6.04454926624738,7.653156300955043
2001-03-28,5.6533795493934145,6.827440785673021
2001-03-29,11.293161696178938,13.756989748369058
2001-03-30,12.6178279900627,13.728498757837453
2001-03-31,8.690015402129513,8.769436817786112
2001-04-01,11.572159921989273,12.000182837640175
2001-04-02,6.691318515070406,7.4919120214127775
2001-04-03,7.244857410004675,9.108169705469846
2001-04-04,6.75590874435517,7.937950853322386
2001-04-05,10.67428470712649,13.633276540743788
2001-04-06,24.642781316348195,29.25642840292522
2001-04-07,16.2438665686209,17.220469282706063
2001-04-08,10.35770871419866,11.070932358318098
2001-04-09,12.253131493024636,16.148590086078954
2001-04-10,9.556959782672887,12.579046831630544
2001-04-11,15.314178403755868,18.52356807511737
2001-04-12,21.248222327565774,24.192344157383268
2001-04-13,10.708465608465609,11.91463844797178
2001-04-14,4.873035952063915,5.364447403462051
2001-04-15,7.6160358260229435,8.33605300288326
2001-04-16,8.726219441547908,9.861951106476655
2001-04-17,5.415699855699856,6.232380952380953
2001-04-18,6.06897750985393,7.154069093438442
2001-04-19,6.493531880641638,7.557293163916518
2001-04-20,10.100386323012167,11.21109381306579
2001-04-21,7.7023314180040945,8.56944719635427
2001-04-22,13.776519992696732,16.474042967561317
2001-04-23,10.908396055779217,12.144640877530778
2001-04-24,5.471194487869839,6.2682531411035844
2001-04-25,4.464226001729605,5.04842894205823
2001-04-26,5.769111034244206,6.133460163726507
2001-04-27,6.36617613244424,6.751264658542194
2001-04-28,3.924730475940047,3.8140941362082565
2001-04-29,6.613947320836598,6.569164004580797
2001-04-30,4.568880937265539,5.190569631211404
